Number,Total_Total,Total_Males,Total_Females,Below30Years_Total,Below30Years_Males,Below30Years_Females,30_39Years_Total,30_39Years_Males,30_39Years_Females,40_49Years_Total,40_49Years_Males,40_49Years_Females,50YearsandOver_Total,50YearsandOver_Males,50YearsandOver_Females
Total,1875642,1068808,806834,364090,192137,171953,503538,269481,234057,486889,280215,206674,521125,326975,194150
Public Bus Only,361318,167855,193463,82388,41562,40826,78746,34688,44058,85130,36444,48686,115054,55161,59893
MRT Only,215837,94187,121650,60787,26325,34463,66047,27834,38213,48393,21018,27375,40610,19010,21599
MRT & Public Bus Only,329581,160235,169345,98991,49838,49154,89413,41966,47447,70642,32306,38336,70535,36126,34409
MRT & Car Only,14160,7093,7067,2246,955,1290,5107,2181,2926,4070,2177,1893,2738,1780,958
MRT & Another Mode,25665,13157,12508,6531,2805,3726,8759,4475,4283,6296,3455,2841,4079,2422,1657
Taxi Only,24939,11349,13590,6046,2376,3670,9029,3745,5284,5708,3047,2661,4156,2181,1974
Car Only,465000,318054,146946,46017,28743,17274,147223,93948,53275,145082,100581,44501,126678,94781,31897
Private Chartered Bus/Van Only,67985,42922,25063,8155,4638,3516,17486,10325,7161,21949,14063,7886,20395,13896,6500
Lorry/Pickup Only,42298,38498,3800,2682,2307,375,6795,5953,842,13941,12733,1209,18880,17505,1375
Motorcycle/Scooter Only,72132,67318,4814,17748,16120,1628,17402,15831,1571,17308,16429,879,19673,18938,735
Others,116482,69441,47041,21545,11631,9914,33449,17694,15755,30174,18194,11980,31315,21922,9392
No Transport Required,140245,78698,61547,10953,4837,6116,24084,10841,13243,38195,19769,18427,67012,43251,23761
