Number,Total_Total,Total_Males,Total_Females,Below30Years_Total,Below30Years_Males,Below30Years_Females,30_39Years_Total,30_39Years_Males,30_39Years_Females,40_49Years_Total,40_49Years_Males,40_49Years_Females,50YearsandOver_Total,50YearsandOver_Males,50YearsandOver_Females
Total,1647294,959689,687605,340871,174925,165945,478951,265443,213508,471341,286358,184983,356131,232962,123169
No Transport Required,125294,72740,52554,11453,5315,6138,25049,12263,12786,41079,23412,17667,47713,31749,15964
One Mode Of Transport,1159947,704298,455648,226149,121657,104493,343729,199940,143789,341248,216288,124960,248821,166413,82407
Public Bus Only,360571,172550,188021,90577,44135,46442,86992,40018,46974,96100,44031,52069,86901,44366,42536
Private Chartered Bus/Van Only,88833,54571,34262,11921,6468,5453,27003,15866,11138,30778,19682,11096,19131,12555,6575
MRT Only,165914,73524,92390,48727,20093,28634,54175,22689,31486,39010,18151,20860,24001,12591,11410
Car Only,377759,263079,114679,44398,27558,16840,130744,85452,45292,124574,90300,34274,78043,59769,18274
Taxi Only,22368,10379,11989,6713,2351,4361,8847,4274,4573,4687,2430,2257,2121,1323,798
Lorry/Pickup Only,42921,38778,4142,3241,2698,543,9492,8242,1250,17465,16224,1241,12723,11615,1108
Motorcycle/Scooter Only,75660,71261,4399,18010,16609,1402,20688,19338,1350,19466,18480,986,17495,16834,661
Others,25921,20156,5766,2562,1745,817,5786,4061,1725,9169,6990,2178,8405,7360,1045
Two Or More Modes Of Transport,362053,182651,179402,103269,47954,55315,110173,53240,56934,89014,46658,42356,59597,34800,24798
MRT & Public Bus Only,248072,123315,124757,76080,35969,40111,69230,32902,36329,60820,30777,30043,41942,23668,18274
MRT & Car Only,10699,5083,5616,1475,438,1037,4182,1740,2442,3364,1862,1502,1678,1042,635
Others,103281,54253,49028,25713,11547,14167,36761,18598,18163,24829,14019,10810,15978,10090,5888
